slabinfo - version: 2.1
# name            <active_objs> <num_objs> <objsize> <objperslab> <pagesperslab> : tunables <limit> <batchcount> <sharedfactor> : slabdata <active_slabs> <num_slabs> <sharedavail>
eventpoll_epi       2280   3232    128   32    1 : tunables    0    0    0 : slabdata    101    101      0
inotify_inode_mark    765    765     80   51    1 : tunables    0    0    0 : slabdata     15     15      0
task_dmabuf_record   1976   2688     32  128    1 : tunables    0    0    0 : slabdata     21     21      0
dax_cache              1     36    896   36    8 : tunables    0    0    0 : slabdata      1      1      0
sgpool-128           152    168   4096    8    8 : tunables    0    0    0 : slabdata     21     21      0
sgpool-64            192    192   2048   16    8 : tunables    0    0    0 : slabdata     12     12      0
sgpool-32            352    352   1024   32    8 : tunables    0    0    0 : slabdata     11     11      0
sgpool-16            352    352    512   32    4 : tunables    0    0    0 : slabdata     11     11      0
sgpool-8             352    352    256   32    2 : tunables    0    0    0 : slabdata     11     11      0
bio_crypt_ctx       2142   2142     40  102    1 : tunables    0    0    0 : slabdata     21     21      0
request_queue_srcu      1     19   1640   19    8 : tunables    0    0    0 : slabdata      1      1      0
request_queue        216    336   1160   28    8 : tunables    0    0    0 : slabdata     12     12      0
blkdev_ioc           780    780    104   39    1 : tunables    0    0    0 : slabdata     20     20      0
bio-224             2411   2528    256   32    2 : tunables    0    0    0 : slabdata     79     79      0
biovec-max          1644   1688   4096    8    8 : tunables    0    0    0 : slabdata    211    211      0
biovec-128           192    192   2048   16    8 : tunables    0    0    0 : slabdata     12     12      0
biovec-64            608    608   1024   32    8 : tunables    0    0    0 : slabdata     19     19      0
biovec-16            384    384    256   32    2 : tunables    0    0    0 : slabdata     12     12      0
damon_region           0      0     56   73    1 : tunables    0    0    0 : slabdata      0      0      0
khugepaged_mm_slot      0      0    112   36    1 : tunables    0    0    0 : slabdata      0      0      0
uid_cache            483    483    192   21    1 : tunables    0    0    0 : slabdata     23     23      0
iommu_iova          1716   1920     64   64    1 : tunables    0    0    0 : slabdata     30     30      0
dmaengine-unmap-2      1     64     64   64    1 : tunables    0    0    0 : slabdata      1      1      0
audit_buffer        1870   1870     24  170    1 : tunables    0    0    0 : slabdata     11     11      0
sock_inode_cache    1415   2052    896   36    8 : tunables    0    0    0 : slabdata     57     57      0
skbuff_ext_cache       0      0    128   32    1 : tunables    0    0    0 : slabdata      0      0      0
skbuff_fclone_cache    384    384    512   32    4 : tunables    0    0    0 : slabdata     12     12      0
skbuff_head_cache   3919   4000    256   32    2 : tunables    0    0    0 : slabdata    125    125      0
configfs_dir_cache    322    322     88   46    1 : tunables    0    0    0 : slabdata      7      7      0
file_lock_cache     1665   1850    216   37    2 : tunables    0    0    0 : slabdata     50     50      0
file_lock_ctx       2443   2774     56   73    1 : tunables    0    0    0 : slabdata     38     38      0
fsnotify_mark_connector   1408   1408     32  128    1 : tunables    0    0    0 : slabdata     11     11      0
buffer_head          920   1248    104   39    1 : tunables    0    0    0 : slabdata     32     32      0
taskstats            870    975    416   39    4 : tunables    0    0    0 : slabdata     25     25      0
mem_cgroup_per_node    725    741   2368   13    8 : tunables    0    0    0 : slabdata     57     57      0
mem_cgroup           728    741   2368   13    8 : tunables    0    0    0 : slabdata     57     57      0
proc_dir_entry      4935   4935    192   21    1 : tunables    0    0    0 : slabdata    235    235      0
pde_opener          1224   1224     40  102    1 : tunables    0    0    0 : slabdata     12     12      0
proc_inode_cache    1653   2240    784   20    4 : tunables    0    0    0 : slabdata    112    112      0
seq_file            2611   2820    136   30    1 : tunables    0    0    0 : slabdata     94     94      0
sigqueue             970   1224     80   51    1 : tunables    0    0    0 : slabdata     24     24      0
bdev_cache           258    357   1856   17    8 : tunables    0    0    0 : slabdata     21     21      0
shmem_inode_cache   3853   4902    848   38    8 : tunables    0    0    0 : slabdata    129    129      0
kernfs_iattrs_cache  12425  13156     88   46    1 : tunables    0    0    0 : slabdata    286    286      0
kernfs_node_cache 132937 133980    136   30    1 : tunables    0    0    0 : slabdata   4466   4466      0
mnt_cache          20548  20622    384   21    2 : tunables    0    0    0 : slabdata    982    982      0
filp               38429  48350    320   25    2 : tunables    0    0    0 : slabdata   1934   1934      0
inode_cache        61890  64906    712   23    4 : tunables    0    0    0 : slabdata   2822   2822      0
dentry             88936 115284    208   39    2 : tunables    0    0    0 : slabdata   2956   2956      0
names_cache          104    104   4096    8    8 : tunables    0    0    0 : slabdata     13     13      0
net_namespace          0      0   4160    7    8 : tunables    0    0    0 : slabdata      0      0      0
hashtab_node       10370  11050     24  170    1 : tunables    0    0    0 : slabdata     65     65      0
ebitmap_node       19178  19520     64   64    1 : tunables    0    0    0 : slabdata    305    305      0
avtab_extended_perms   4201   4692     40  102    1 : tunables    0    0    0 : slabdata     46     46      0
avtab_node        155380 156230     24  170    1 : tunables    0    0    0 : slabdata    919    919      0
avc_xperms_data     1536   1536     32  128    1 : tunables    0    0    0 : slabdata     12     12      0
avc_xperms_decision_node   1020   1020     48   85    1 : tunables    0    0    0 : slabdata     12     12      0
avc_xperms_node     1898   1898     56   73    1 : tunables    0    0    0 : slabdata     26     26      0
avc_node            1475   1680     72   56    1 : tunables    0    0    0 : slabdata     30     30      0
iint_cache             0      0    144   28    1 : tunables    0    0    0 : slabdata      0      0      0
lsm_inode_cache    88634 112347     56   73    1 : tunables    0    0    0 : slabdata   1539   1539      0
